Unnamed--0,app_name,number_of_reviews,review_score,answer
0,Discovering Colors - Animals,14,1,Educational
1,Fabric,26,1,Puzzle
2,Trigonarium,103,1,Arcade
3,Aveyond 3-3: The Lost Orb,27,1,RPG
4,Aveyond 3-4: The Darkthrop Prophecy,63,1,RPG
5,Reverse x Reverse,7,1,Puzzle
6,Awakening: The Redleaf Forest Collector's Edition,26,1,Adventure
7,F-19 Stealth Fighter,19,1,Simulation
8,Rise of Keepers,6,1,Fantasy
9,Extravaganza Rising,39,1,RPG
10,"Axe, Bow & Staff",172,1,Fantasy
11,Everyday Genius: SquareLogic,54,1,Puzzle
12,Roads of Rome 2,11,1,Strategy
13,Robo's World: The Zarnok Fortress,11,1,Action
14,Tremor,3,1,Action
15,Robot Squad Simulator 2017,373,1,Simulation
16,Rogue Contracts: Syndicate,36,1,Action
17,Escape from Paradise 2,61,1,Adventure
18,Equin: The Lantern,993,1,Adventure
19,Tradewinds Caravans,4300,1,Simulation
20,Roses and Gems,170,1,Puzzle
21,BLUE REVOLVER,318,1,Shoot'em-up
22,Endless Night - Alpha,16,1,Horror
23,Emily: Displaced,599,1,Adventure
24,Toys of War,452,1,Action
25,Fables from the Den,185,1,Adventure
26,Rescuties! VR,59,1,Puzzle
27,S.T.A.L.K.E.R.: Call of Pripyat,44,1,FPS
28,Rescue Team 1,388,1,Simulation
29,Raptor Valley,16,1,Action
30,Atonement 2: Ruptured by Despair,127,1,RPG
31,Rayon Riddles - Rise of the Goblin King,1794,1,Puzzle
32,Atriage,31,1,Strategy
33,Razortron 2000,325,1,Action
34,Fatal Theory,21,1,Fighting
35,Realms of Arkania: Star Trail,4,1,RPG
36,Farm Mania: Hot Vacation,165,1,Simulation
37,Recourse,60,1,Action
38,Farm Frenzy Pizza Party,18,1,Simulation
39,Farm Frenzy Collection,138,1,Simulation
40,Farm Frenzy 3 American Pie,31,1,Simulation
41,Red Comrades 2: For the Great Justice. Reloaded,68,1,Adventure
42,Red Spider: Vengeance,11,1,Action
43,Redirection,204,1,Puzzle
44,RefRain - prism memories -,24,1,Shooter
45,Reflection of Mine,204,1,Puzzle
46,Trouble Witches Origin - Episode1 Daughters of Amalgam -,227,1,Shooter
47,Reiner Knizia's The Confrontation,86,1,Strategy
48,Falcon Gold,159,1,Simulation
49,Falcon,85,1,Action
50,Requiescence,74,1,RPG
51,Rescue Love Revenge,179,1,Action
52,Running Gods,464,1,Action
53,Elems,915,1,RPG
54,HELP: THE GAME,2,1,Puzzle
55,Satellite Rush,19,1,Action
56,Sceelix - Procedural Power,81,1,Simulation
57,SculptrVR,24,1,Simulation
58,Duckpocalypse,59,1,Shooter
59,Second Coming: Tactical Training,273,1,Strategy
60,Second Death,354,1,Horror
61,"Drones, The Human Condition",326,1,Action
62,Secrets of Magic: The Book of Spells,5,1,Fantasy
63,Battle Mages: Sign of Darkness,29,1,Fantasy
64,Secrets of Me,10,1,Simulation
65,Seven Kingdoms: Ancient Adversaries,3,1,Strategy
66,Shadow Of Nebula,37,1,Adventure
67,Dragon Fantasy: The Volumes of Westeria,11,1,RPG
68,Dragon Bros,20,1,Action
69,Dots eXtreme,58,1,Puzzle
70,Door To Door,90,1,Adventure
71,Bazaar,15,1,Strategy
72,Timelapse,13,1,Puzzle
73,Bear Haven Nights,14,1,Horror
74,Time Tenshi 2: Special Edition,296,1,Visual Novel
75,Divinia Chronicles: Relics of Gan-Ti,765,1,RPG
76,Beautiful Japanese Scenery - Animated Jigsaws,59,1,Puzzle
77,Beekyr Reloaded,128,1,Shoot'em-up
78,Beeswing,23,1,Adventure
79,Scarab Tales,36,1,Puzzle
80,Batman: Arkham City GOTY,23,1,Action
81,Back to the Future: Ep 2 - Get Tannen!,192,1,Adventure
82,Dungeoncraft,1202,1,RPG
83,Back to the Future: Ep 3 - Citizen Brown,269,1,Adventure
84,Backstreets of the Mind,25,1,Puzzle
85,SPINGUN,25070,1,Action
86,SPLIT BULLET,380,1,Shooter
87,Egg Time,23,1,Puzzle
88,Eclipsed,26,1,Sci-fi
89,SUMICO - The Numbers Game,16,1,Puzzle
90,Ballads of Reemus: When the Bed Bites,53,1,Adventure
91,EXZEAL,9,1,Shooter
92,Sakura Swim Club,20,1,Visual Novel
93,Bamboo EP,102,1,Puzzle
94,Band of Drones,3,1,Strategy
95,Sally's Law,25,1,Puzzle
96,Sam & Max 202: Moai Better Blues,34,1,Adventure
97,Sam & Max 203: Night of the Raving Dead,738,1,Adventure
98,Sam & Max 204: Chariots of the Dogs,87,1,Adventure
99,Sam & Max 205: What's New Beelzebub?,140,1,Adventure
100,Baron Wittard,408,1,Mystery
101,Sam & Max 303: They Stole Max's Brain!,42,1,Adventure
102,Baseball Mogul Diamond,118,1,Sports
103,Sam & Max 305: The City that Dares not Sleep,3200,1,Adventure
104,Tomoyo After ~It's a Wonderful Life~ English Edition,33,1,Visual Novel
105,Samurai of Hyuga Book 2,85,1,Adventure
106,Turtle Odyssey,277,1,Adventure
107,Atlantis: Pearls of the Deep,552,1,Puzzle
108,Campus Notes - forget me not.,245,1,Visual Novel
109,Animated Puzzles,200,1,Puzzle
110,Pixel: ruÂ²,15,1,Puzzle
111,Pixelscape: Oceans,3,1,Adventure
112,Glaive,72,1,Action
113,Planet Alcatraz 2,39,1,RPG
114,Planet Busters,69,1,Strategy
115,Ghostlords,2037,1,Fantasy
116,Plankton,43,1,Simulation
117,Plant Tycoon,307,1,Simulation
118,Genius Greedy Mouse,58,1,Puzzle
119,Polychromatic,379,1,Puzzle
120,Polyology,6,1,Puzzle
121,Antiflux,43,1,Puzzle
122,Vagrant Hearts 2,72,1,RPG
123,Garden Wars,13,1,Strategy
124,VRNinja,252,1,Action
125,Gamma Bros,10,1,Shooter
126,Gaming Accelerator 2,290,1,Simulation
127,Potioneer: The VR Gardening Simulator,222,1,Simulation
128,Power Link VR,110,1,Virtual Reality
129,Galaxy Combat Wargames,68,1,Action
130,Galaxy Cannon Rider,28,1,Action
131,VR Regatta - The Sailing Game,250,1,Simulation
132,Galactic Fighters,117,1,Action
133,Pixel Gladiator,73,1,Action
134,Goblin and Coins,14,1,Platformer
135,TwinForce,12,1,Action
136,Pitfall Planet,446,1,Adventure
137,Voodoo Dice,11,1,Puzzle
138,Paint it Back,15,1,Puzzle
139,Void Vikings,12,1,Action
140,Pale Echoes,4946,1,RPG
141,Pang Adventures,1,1,Arcade
142,Gulf of Aden - Task Force Somalia,83,1,Action
143,Guardian's Oath,268,1,Fantasy
144,Groggers!,129,1,Action
145,"Grid Legion, Storm",39,1,Strategy
146,Green Ranch,5,1,Simulation
147,VirZOOM Arcade,354,1,Arcade
148,Green Moon 2,187,1,Adventure
149,Vindicator: Uprising,2,1,Action
150,Vilmonic,113,1,Simulation
151,Pen Island VR,82,1,Simulation
152,Grave VR,266,1,Horror
153,Grandpa's Table,135,1,Puzzle
154,Perfect Universe,16,1,Puzzle
155,Pet Store Panic,164,1,Simulation
156,Grand Designer,98,1,Simulation
157,Goscurry,32,1,Racing
158,Golf With Your Friends,6,1,Sports
159,Golden Krone Hotel,22,1,RPG
160,VOI,11,1,Puzzle
161,Archibald's Adventures,19,1,Puzzle
162,Gabriel Knight: Sins of the Fathers,25,1,Adventure
163,VIRTUAnimator,12,1,Animation
164,Quell Zen,19,1,Puzzle
165,Quip Anomaly,37,1,Puzzle
166,Umihara Kawase,448,1,Platformer
167,Flyhunter Origins,65,1,Adventure
168,"Fly, Glowfly!",11,1,Arcade
169,Flute Master,5074,1,Music
170,Ultimate Solid,26,1,Puzzle
171,RED Fuse: Rolling Explosive Device,121,1,Action
172,Flip,12,1,Puzzle
173,Fleet Defender: The F-14 Tomcat Simulation,8,1,Simulation
174,RPG Fighter League,2606,1,Fighting
175,Astervoid 2000,5,1,Arcade
176,RPG Maker 2000,680,1,RPG
177,Flat Heroes,348,1,Platformer
178,UBERMOSH Vol.3,1729,1,Action
179,Astro Duel,16,1,Arcade
180,Fitness Dash,324,1,Simulation
181,Race Injection,496,1,Racing
182,Typing Instructor for Kids Platinum 5,56,1,Educational
183,Typing Instructor Platinum 21,4,1,Educational
184,FireAlpaca SE,8,1,Art
185,Fine China,701,1,Puzzle
186,Raging Titan,38,1,Action
187,Quell Reflect,229,1,Puzzle
188,Queendoom,23,1,Fantasy
189,Aspectus: Rinascimento Chronicles,862,1,Adventure
190,Project Hovercraft,40,1,Racing
191,Arclight Cascade,40,1,Action
192,Professor Teaches?? Access 2013 & 365,59,1,Educational
193,Professor TeachesÂ® PowerPoint 2013 & 365,44,1,Educational
194,Professor WhyÂƒ?Â›: Chemistry 1,20,1,Educational
195,Area-X,29,1,Visual Novel
196,"Upwards, Lonely Robot",19,1,Puzzle
197,Uprising 2: Lead and Destroy,58,1,Action
198,Aritana and the Harpy's Feather,20,1,Adventure
199,Unwell Mel,12604,1,Puzzle
200,GTGD S3 How To Make A Game,79,1,Tutorial
201,Project: R.E.B.O.O.T,27,1,Action
202,Unbreakable Vr Runner,155,1,Action
203,Unruly Ghouls,34,1,Horror
204,Prompt,22,1,Genre
205,G Prime Into The Rain,52,1,Puzzle
206,Pumpkin SculptrVR,24,1,Simulation
207,Push Me Pull You,25,1,Sports
208,Push The Crate,12470,1,Puzzle
209,Puzzle Nebula,2937,1,Puzzle
210,Fragmental,34,1,Puzzle
211,Four Realms,15,1,Fantasy
